id,sitecode,sakename,kuramoto,address,is_junmai,seimaibuai,alcohol,nihonsyudo,sando,aminosando,etc1,etc2,etc3,etc4,etc5,etc6,etc7,etc8
33,147,明鏡止水,蔵元：大澤酒造株式会社,蔵元：長野県佐久市茂田井2206,None,None,度数：16.0以上～17.0度未満,日本酒度：＋3,酸度：1.4,None,原材料：米・米こうじ・醸造アルコール,原料米：美山錦,種類：吟醸酒,,,,,
34,149,眞澄　奥伝寒造り,蔵元：宮坂醸造株式会社,蔵元：長野県諏訪市元町1-16,純米,精米歩合：60%,度数：15度,None,None,None,原材料：米・米こうじ,原料米：美山錦80%・ひとごこち20%,種類：純米酒,,,,,
35,151,花の舞　純米吟醸,蔵元：花の舞酒造株式会社,蔵元：静岡県浜松市浜北区宮口632,純米,精米歩合：55%,度数：18度以上19度未満,None,None,None,原材料：米・米こうじ,原料米：山田錦100%,,,,,,
36,153,喜久酔,蔵元：青島酒造株式会社,蔵元：静岡県藤枝市上青島246,非純米,精米歩合：50%,度数：15度以上16度未満,日本酒度：＋5～+9,酸度：1.1～1.4,None,原材料：米・米こうじ・醸造アルコール,,,,,,,
37,155,瀧自慢,蔵元：瀧自慢酒造株式会社,蔵元：三重県名張市赤目町柏原141,純米,精米歩合：麹米 ? 50% ・ 掛米 ? 55%,度数：17.0以上～18.0度未満,日本酒度：＋3,酸度：1.6,None,原材料：米・米こうじ,原料米：麹米 ? 山田錦 ・ 掛米 ? 五百万石,使用酵母：蔵内自家培養酵母,種類：純米吟醸　無濾過生酒,,,,
38,157,澤屋まつもと 無濾過本生原酒　愛山,蔵元：松本酒造株式会社,蔵元：京都市伏見区横大路三栖大黒町7,純米,精米歩合：65%,度数：18度台,日本酒度：＋3.5,酸度：1.7,アミノ酸度：1.0,原材料：米・米麹,原料米：愛山（兵庫県産）,種類：純米無濾過本生原酒,,,,,
39,160,酔心,蔵元：酔心山根本店,蔵元：広島県三原市東町1-5-58,None,精米歩合　：　65%,None,日本酒度　：　＋2.0,None,None,コメント　：　やや辛口の酒。　広島、鷹ノ巣山山麓のブナの原生林に湧く「ブナのめぐみ」といえる清冽な軟水と、最高級の酒米「山田錦」を合わせて丹念に醸し出すと、馥郁な香りとすっきりとした飲み口の酒が出来上がる。　「軟水の女酒」と賞讃される酒「酔心」。　飲み飽きない旨味は、横山大観が好んだ酒として知られてる。（しおりより）,原料米　：　麹米 山田錦 / 掛米 広島県産米,仕込水　：　鷹ノ巣山山麓の湧水,,,,,
40,162,獺祭（だっさい） 発泡にごり酒,蔵元：旭酒造株式会社,蔵元：山口県岩国市周東町獺越2167-4,純米,精米歩合：50%,度数：15.0以上～16.0度未満,None,None,None,原材料名：米・米こうじ,種類：発泡にごり酒,,,,,,
41,164,越乃八豊,蔵元：越後酒造場,蔵元：新潟県新潟市葛塚3306-1,純米,精米歩合　：　60%,度数　：　14.0～15.0度未満,None,None,None,種類　：　山廃　無濾過　純米吟醸,,,,,,,
42,166,菊姫　山廃仕込 純米生原酒,蔵元：加賀菊酒本舗 菊姫合資会社,蔵元：石川県白山市鶴来新町夕8,純米,精米歩合　：　70%,度数　：　16.0～17.0度未満,None,None,None,原料米　：　兵庫県吉川町産特A山田錦100%使用,種類　：　山廃 純米,,,,,,
43,169,菊姫 にごり酒,蔵元：菊姫合資会社,蔵元：石川県白山市鶴来新町夕-8,非純米,None,度数　：　14.0～15.0度未満,None,None,None,原材料名：米・米こうじ・醸造アルコール,原料米　：　兵庫県吉川町産特A山田錦100%使用,,,,,,
44,171,大山 特別純米酒,蔵元：加藤嘉八郎酒造株式会社,蔵元：山形県鶴岡市大山三丁目1-38,純米,精米歩合：60%,度数　：　14.0～15.0度未満,None,None,None,種類：純米,,,,,,,
45,173,純,蔵元：株式会社　宇野酒造場,蔵元：福井県大野市本町3-4,純米,精米歩合：55%,度数：15.0～16.0度未満,日本酒度：+2.5,酸度：+1.5,None,原材米：福井五百万石,原材料名：米・米こうじ,使用酵母：協会14号,種類：純米酒,杜氏：南山幸男（能登杜氏）,,,
46,177,天狗舞,蔵元：株式会社車多酒造,蔵元：石川県白山市坊丸町60番地1,純米,精米歩合　：　60%,度数　：　15.0～16.0度未満,None,None,None,種類　：　純米　山廃,,,,,,,
47,179,千寿　久保田,蔵元：朝日酒造株式会社,蔵元：新潟県長岡市朝日880-1,非純米,None,度数　：　15.0～16.0度未満,None,None,None,原材料名：米、米こうじ、醸造アルコール,,,,,,,
48,181,百寿　越乃かぎろひ,蔵元：朝日酒造株式会社,蔵元：新潟県長岡市朝日880-1,純米,None,度数　：　15.0～16.0度未満,None,None,None,原材料名：米、米こうじ,,,,,,,
49,183,壱乃　越州,蔵元：朝日酒造株式会社,蔵元：新潟県長岡市朝日880-1,非純米,None,度数　：　15.0～16.0度未満,None,None,None,原材料名：米、米こうじ、醸造アルコール,,,,,,,
50,185,八海山 純米吟醸,蔵元：八海醸造株式会社,蔵元：新潟県南魚沼市長森1051,純米,精米歩合：50%,度数　：　15.5度,None,None,None,原材料名：米、米こうじ,,,,,,,
51,187,越後鶴亀　復刻明治,蔵元：上原酒造株式会社,蔵元：新潟県新潟市竹野町2575-2,純米,精米歩合：60%,度数　：　18度以上19度未満,None,None,None,原材料名：米、米こうじ,,,,,,,
52,189,福乃光・無濾過原酒,蔵元：株式会社福光屋,蔵元：金沢市石引2-8-3,純米,精米歩合：70%,度数　：　18.0～19.0度未満,日本酒度：＋1,酸度：2.0,None,原材料名：米、米こうじ,,,,,,,
53,191,艶,蔵元：加藤吉平商店,蔵元：福井県鯖江市吉江町1-11,純米,精米歩合：50%,度数：15.0～16.0度未満,None,None,None,原材料名：米、米こうじ,原料米：兵庫県産契約栽培山田錦100%,使用酵母：KATO 9号（自社酵母）,種類：純米大吟醸,,,,
