sakecode,sakename,meigaracode,syurui,genryoumai,seimaibuai,nihonsyudo,sando,aminosando,amakardo,noutando,alcohol
1648,萬寿鏡 大吟醸 無濾過原酒 しずく,565,,,40,,,,,,17.5
1662,萬寿鏡 純米大吟醸（赤函）,565,純米大吟醸,山田錦,40,3,1.7,,-0.66,0.04,16.5
1663,萬寿鏡 純米大吟醸 甕貯蔵（緑函）,565,純米大吟醸,山田錦,40,3,1.7,,-0.66,0.04,16.5
1661,萬寿鏡 大吟醸 蔵之主,565,大吟醸,山田錦,40,3,1.4,,-0.31,-0.52,17.5
1660,萬寿鏡 大吟醸,565,大吟醸,山田錦,45,5,1.3,,-0.38,-0.8,16.5
1659,萬寿鏡 純米吟醸 吟撰,565,純米吟醸,山田錦,50,0,1.5,,-0.15,-0.2,16.5
1647,萬寿鏡 特別純米酒 大甕貯蔵酒 一年寝太郎,565,特別純米酒,五百万石,38,1,1.5,,-0.24,-0.25,15.5
1657,萬寿鏡 純米吟醸 じぶんどき,565,純米吟醸,,37,,,,,,15.5
1649,萬寿鏡 特別本醸造 原酒生詰 ひやおろし,565,特別本醸造原酒,,38,,,,,,19.5
1646,萬寿鏡 特別本醸造 無濾過生原酒 しぼりたて,565,特別本醸造原酒,ゆきの精,38,4,1.6,,-0.64,-0.19,19.5
1655,萬寿鏡 吟醸 じぶんどき,565,吟醸,五百万石,37,3,1.4,,-0.31,-0.52,15.5
